key,press_time,release_time,dwell_time,flight_time,press_press,release_release
Shift,402.300,723.400,321.100,99.300,0,0
a,822.700,965.900,143.200,-23.200,420.400,242.500
j,942.700,1062.900,120.200,85.200,120.000,97.000
2,1148.100,1373.000,224.900,-60.000,205.400,310.100
4,1313.000,1444.100,131.100,44.100,164.900,71.100
0,1488.200,1628.400,140.200,-4.100,175.200,184.300
3,1624.300,1746.200,121.900,56.200,136.100,117.800
2,1802.400,1917.400,115.000,-15.300,178.100,171.200
0,1902.100,2000.400,98.300,68.100,99.700,83.000
0,2068.500,2183.500,115.000,-17.100,166.400,183.100
3,2166.400,2277.000,110.600,416.000,97.900,93.500
.,2693.000,2797.600,104.600,0,526.600,520.600
